Treatment,Date,Reel,Session (CamA),Minute,Time stamp,Origin,Arrival,Follower,Sex,X,Y,X_left,Y_left,X_right,Y_right,theta,Entry_raw,Entry,Notes
Bright-Dark,07/05/2021,6,1,15,1,Right,Left,,F,2043,1635,1583,1652,2272,1663,-0.0160,115.1261126,0.334183201,
Bright-Dark,07/05/2021,6,1,15,1,Right,Left,1,,,,,,,,,,,
Bright-Dark,07/05/2021,6,1,15,1,Right,Left,2,,,,,,,,,,,
Bright-Dark,07/05/2021,6,1,15,2,Right,Left,,F,1964,1627,1583,1652,2272,1663,-0.015963811,36.00847366,0.104523871,
Bright-Dark,07/05/2021,6,1,32,1,Right,Left,,M,2059,1642,1583,1652,2272,1663,-0.015963811,131.2358159,0.380945764,
Bright-Dark,07/05/2021,6,1,49,1,Right,Left,,M,1908,1640,1583,1652,2272,1663,-0.015963811,-19.77687015,-0.057407461,
Bright-Dark,07/05/2021,6,1,49,1,Right,Left,1,,,,,,,,,,,
Bright-Dark,07/05/2021,6,1,49,2,Right,Left,,M,1983,1619,1583,1652,2272,1663,-0.015963811,54.87834764,0.159298542,
Bright-Dark,07/05/2021,6,1,49,2,Right,Left,1,,,,,,,,,,,
Bright-Dark,07/05/2021,6,1,49,2,Right,Left,2,,,,,,,,,,,
Bright-Dark,07/05/2021,6,1,54,1,Right,Left,,M,1990,1658,1583,1652,2272,1663,-0.015963811,62.50001788,0.181422403,
Bright-Dark,07/05/2021,6,1,60,1,Right,Right,,M,1931,1655,1583,1652,2272,1663,-0.015963811,3.459646202,0.010042514,
Bright-Dark,10/05/2021,7,4,1,1,Right,Left,,F,2003,1605,1580,1631,2276,1643,-0.017239671,74.43721289,0.213900037,
Bright-Dark,10/05/2021,7,4,1,1,Right,Left,,F,1940,1632,1580,1631,2276,1643,-0.017239671,11.91202272,0.03422995,
Bright-Dark,10/05/2021,7,4,2,1,Right,Left,,M,1922,1635,1580,1631,2276,1643,-0.017239671,-6.033586038,-0.017337891,
Bright-Dark,10/05/2021,7,4,9,1,,,,,,,,,,,,,,
Bright-Dark,11/05/2021,8,1,9,1,Right,Left,,F,1974,1621,1581,1633,2273,1643,-0.014449861,46.74945423,0.13511403,
Bright-Dark,11/05/2021,8,1,9,1,Right,Left,1,,,,,,,,,,,
Bright-Dark,11/05/2021,8,1,9,1,Left,Left,1,,,,,,,,,,,
Bright-Dark,11/05/2021,8,1,10,1,Right,Left,,F,2045,1622,1581,1633,2273,1643,-0.014449861,117.7564914,0.34033668,
Bright-Dark,11/05/2021,8,1,10,1,Right,Left,1,,,,,,,,,,,
Bright-Dark,11/05/2021,8,1,14,1,,,,,,,,,,,,,,
Bright-Dark,11/05/2021,8,1,15,1,Right,Right,,M,2028,1593,1581,1633,2273,1643,-0.014449861,100.3392347,0.289997788,
Bright-Dark,11/05/2021,8,1,19,1,Right,Right,,M,2032,1602,1581,1633,2273,1643,-0.014449861,104.4688614,0.301933125,
Bright-Dark,11/05/2021,8,1,24,1,Right,Right,,,,,,,,,,,,
Bright-Dark,11/05/2021,8,1,29,1,Right,Left,,M,1979,1610,1581,1633,2273,1643,-0.014449861,51.5899893,0.149104015,
